Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put
2020-04-14T15:11:12-0400,Trade,SELL_TO_OPEN,IWM   200515P00113000,Equity Option,Sold 1 IWM 05/15/20 Put 113.00 @ 3.68,368.00,1.0,368.00,-1.00,-0.15,100,IWM,5/15/20,113.0,PUT
2020-04-14T15:11:12-0400,Trade,BUY_TO_OPEN,IWM   200515P00111000,Equity Option,Bought 1 IWM 05/15/20 Put 111.00 @ 3.16,-316.00,1.0,-316.00,-1.00,-0.14,100,IWM,5/15/20,111.0,PUT
2020-04-14T15:08:18-0400,Trade,BUY_TO_OPEN,SPY   200515P00265000,Equity Option,Bought 1 SPY 05/15/20 Put 265.00 @ 5.79,-579.00,1.0,-579.00,-1.00,-0.14,100,SPY,5/15/20,265.0,PUT
2020-04-14T15:08:18-0400,Trade,SELL_TO_OPEN,SPY   200515P00267000,Equity Option,Sold 1 SPY 05/15/20 Put 267.00 @ 6.23,623.00,1.0,623.00,-1.00,-0.16,100,SPY,5/15/20,267.0,PUT
2020-04-14T14:56:57-0400,Trade,SELL_TO_OPEN,GLD   200515P00157000,Equity Option,Sold 1 GLD 05/15/20 Put 157.00 @ 2.26,226.00,1.0,226.00,-1.00,-0.15,100,GLD,5/15/20,157.0,PUT
2020-04-14T14:56:57-0400,Trade,BUY_TO_OPEN,GLD   200515P00153000,Equity Option,Bought 1 GLD 05/15/20 Put 153.00 @ 1.31,-131.00,1.0,-131.00,-1.00,-0.14,100,GLD,5/15/20,153.0,PUT
2020-04-14T14:42:21-0400,Trade,BUY_TO_OPEN,UNG   200522P00010000,Equity Option,Bought 1 UNG 05/22/20 Put 10.00 @ 0.19,-19.00,1.0,-19.00,-1.00,-0.14,100,UNG,5/22/20,10.0,PUT
2020-04-14T14:42:21-0400,Trade,SELL_TO_OPEN,UNG   200522P00011500,Equity Option,Sold 1 UNG 05/22/20 Put 11.50 @ 0.61,61.00,1.0,61.00,-1.00,-0.15,100,UNG,5/22/20,11.5,PUT
2020-04-14T14:38:07-0400,Trade,BUY_TO_OPEN,MU    200515C00052500,Equity Option,Bought 1 MU 05/15/20 Call 52.50 @ 1.09,-109.00,1.0,-109.00,-1.00,-0.14,100,MU,5/15/20,52.5,CALL
2020-04-14T14:38:07-0400,Trade,SELL_TO_OPEN,MU    200515C00050000,Equity Option,Sold 1 MU 05/15/20 Call 50.00 @ 1.90,190.00,1.0,190.00,-1.00,-0.15,100,MU,5/15/20,50.0,CALL
2020-04-09T15:59:04-0400,Trade,BUY_TO_OPEN,XLE   200515C00038210,Equity Option,Bought 1 XLE 05/15/20 Call 38.21 @ 0.95,-95.00,1.0,-95.00,-1.00,-0.14,100,XLE,5/15/20,38.21,CALL
2020-04-09T15:59:04-0400,Trade,SELL_TO_OPEN,XLE   200515C00036210,Equity Option,Sold 1 XLE 05/15/20 Call 36.21 @ 1.66,166.00,1.0,166.00,-1.00,-0.15,100,XLE,5/15/20,36.21,CALL
2020-04-09T15:56:05-0400,Trade,BUY_TO_OPEN,USO   200515C00006500,Equity Option,Bought 1 USO 05/15/20 Call 6.50 @ 0.18,-18.00,1.0,-18.00,-1.00,-0.14,100,USO,5/15/20,6.5,CALL
2020-04-09T15:56:05-0400,Trade,SELL_TO_OPEN,USO   200515C00005000,Equity Option,Sold 1 USO 05/15/20 Call 5.00 @ 0.66,66.00,1.0,66.00,-1.00,-0.15,100,USO,5/15/20,5.0,CALL
2020-04-09T14:44:23-0400,Trade,BUY_TO_OPEN,PCG   200515P00007000,Equity Option,Bought 1 PCG 05/15/20 Put 7.00 @ 0.45,-45.00,1.0,-45.00,-1.00,-0.14,100,PCG,5/15/20,7.0,PUT
2020-04-09T14:44:23-0400,Trade,SELL_TO_OPEN,PCG   200515P00009000,Equity Option,Sold 1 PCG 05/15/20 Put 9.00 @ 0.90,90.00,1.0,90.00,-1.00,-0.15,100,PCG,5/15/20,9.0,PUT
2020-04-09T13:32:16-0400,Trade,BUY_TO_OPEN,QQQ   200515P00186000,Equity Option,Bought 1 QQQ 05/15/20 Put 186.00 @ 4.89,-489.00,1.0,-489.00,-1.00,-0.14,100,QQQ,5/15/20,186.0,PUT
2020-04-09T13:32:16-0400,Trade,SELL_TO_OPEN,QQQ   200515P00188000,Equity Option,Sold 1 QQQ 05/15/20 Put 188.00 @ 5.33,533.00,1.0,533.00,-1.00,-0.16,100,QQQ,5/15/20,188.0,PUT
